1; 1323958; 1
2; 75263; 1
3; 92940; 2
4; 61579; 1
5; 76405; 2
6; 86097; 2
7; 52457; 1
8; 748076; 2
9; 55307; 2
10; 51886; 2
11; 71843; 2
12; 148817; 3
13; 94650; 2
14; 55307; 3
15; 51316; 2
16; 85527; 1
17; 68992; 2
18; 105484; 3
19; 61010; 2
20; 914569; 3
21; 102062; 3
22; 104913; 3
23; 86667; 3
24; 363775; 4
25; 81536; 3
26; 140834; 5
27; 159081; 5
28; 133423; 5
29; 102632; 4
30; 103773; 4
31; 2275589; 11
32; 662550; 12
33; 1825718; 8
34; 2135895; 11
35; 579874; 10
36; 774305; 19
37; 588996; 13
38; 863254; 17
39; 651717; 17
40; 534829; 13
41; 1012070; 18
42; 758910; 19
43; 1366723; 23
44; 793121; 19
45; 739524; 18
46; 1435144; 19
47; 622637; 3
48; 2432389; 23
49; 282809; 4
50; 362635; 22
51; 329564; 27
52; 500048; 26
53; 475531; 30
54; 1155755; 28
55; 512593; 26
56; 764041; 39
57; 334126; 41
58; 307898; 36
59; 518294; 36
60; 620356; 40
61; 1025185; 16
62; 12423090; 107
63; 2594891; 32
64; 9369774; 102
65; 14361133; 138
66; 16343080; 161
67; 18336430; 146
68; 55514471; 153
69; 44899423; 146
70; 11100842; 156
71; 14014463; 184
72; 13022350; 185
73; 19248149; 186
74; 11634530; 182
75; 15226096; 194
76; 39163408; 180
77; 60298284; 273
78; 13965998; 89
79; 46541543; 199
80; 64218845; 266
81; 54545164; 260
82; 66350178; 333
83; 135800427; 316
84; 60021747; 282
85; 64693234; 298
86; 54729332; 375
87; 53621472; 386
88; 49676394; 355
89; 58715464; 428
90; 57151459; 391
91; 246882967; 352
92; 248581534; 352
93; 373611255; 509
94; 431786187; 631
95; 324943509; 506
96; 620412115; 792
97; 491665389; 637
98; 625962821; 777
99; 463419794; 644
100; 747633609; 846
101; 857740569; 970
102; 661776420; 875
103; 756939523; 1037
104; 951828312; 1014
105; 700247629; 953
106; 2456769780; 1065
107; 1914480357; 788
108; 2011560407; 945
109; 1757040444; 855
110; 3116028853; 1205
111; 5032148480; 1661
112; 3522655831; 1356
113; 4922706920; 1741
114; 3121911974; 1200
115; 3798173256; 1389
116; 5459312214; 1943
117; 7003837314; 1903
118; 5873441625; 1867
119; 5686391106; 1898
